,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
638,BAC,1,638,287,Bed nucleus of the anterior commissure,"[997, 8, 567, 623, 803, 809, 287]","[112905828, 691663206, 687527945, 688152362, 12, 184527634, 167587189]","[179, 192, 223]"
639,BS,1,639,343,Brain stem,"[997, 8, 343]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[255, 112, 128]"
640,IB,1,640,1129,Interbrain,"[997, 8, 343, 1129]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[255, 112, 128]"
641,TH,1,641,549,Thalamus,"[997, 8, 343, 1129, 549]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[255, 112, 128]"
642,DORsm,1,642,864,"Thalamus, sensory-motor cortex related","[997, 8, 343, 1129, 549, 864]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[255, 128, 132]"
643,VENT,1,643,637,Ventral group of the dorsal thalamus,"[997, 8, 343, 1129, 549, 864, 637]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[255, 128, 132]"
644,VAL,1,644,629,Ventral anterior-lateral complex of the thalamus,"[997, 8, 343, 1129, 549, 864, 637, 629]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 112905813, 114512891]","[255, 128, 132]"
645,VM,1,645,685,Ventral medial nucleus of the thalamus,"[997, 8, 343, 1129, 549, 864, 637, 685]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 112905813, 114512891]","[255, 128, 132]"
646,VP,1,646,709,Ventral posterior complex of the thalamus,"[997, 8, 343, 1129, 549, 864, 637, 709]","[112905828, 691663206, 10, 12, 184527634, 112905813, 114512891, 114512892]","[255, 128, 132]"
647,VPL,1,647,718,Ventral posterolateral nucleus of the thalamus,"[997, 8, 343, 1129, 549, 864, 637, 709, 718]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 128, 132]"
648,VPLpc,1,648,725,"Ventral posterolateral nucleus of the thalamus, parvicellular part","[997, 8, 343, 1129, 549, 864, 637, 709, 725]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 128, 132]"
649,VPM,1,649,733,Ventral posteromedial nucleus of the thalamus,"[997, 8, 343, 1129, 549, 864, 637, 709, 733]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[255, 128, 132]"
650,VPMpc,1,650,741,"Ventral posteromedial nucleus of the thalamus, parvicellular part","[997, 8, 343, 1129, 549, 864, 637, 709, 741]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 128, 132]"
651,PoT,1,651,563807435,Posterior triangular thalamic nucleus,"[997, 8, 343, 1129, 549, 864, 637, 563807435]","[112905828, 691663206, 688152363, 184527634, 167587189]","[255, 128, 132]"
652,SPF,1,652,406,Subparafascicular nucleus,"[997, 8, 343, 1129, 549, 864, 406]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 128, 132]"
653,SPFm,1,653,414,"Subparafascicular nucleus, magnocellular part","[997, 8, 343, 1129, 549, 864, 406, 414]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 128, 132]"
654,SPFp,1,654,422,"Subparafascicular nucleus, parvicellular part","[997, 8, 343, 1129, 549, 864, 406, 422]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 128, 132]"
655,SPA,1,655,609,Subparafascicular area,"[997, 8, 343, 1129, 549, 864, 609]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 128, 132]"
656,PP,1,656,1044,Peripeduncular nucleus,"[997, 8, 343, 1129, 549, 864, 1044]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 128, 132]"
657,GENd,1,657,1008,"Geniculate group, dorsal thalamus","[997, 8, 343, 1129, 549, 864, 1008]","[112905828, 691663206, 12, 184527634, 112905813, 114512891]","[255, 128, 132]"
658,MG,1,658,475,Medial geniculate complex,"[997, 8, 343, 1129, 549, 864, 1008, 475]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 128, 132]"
659,MGd,1,659,1072,"Medial geniculate complex, dorsal part","[997, 8, 343, 1129, 549, 864, 1008, 475, 1072]","[184527634, 12, 691663206]","[255, 128, 132]"
660,MGv,1,660,1079,"Medial geniculate complex, ventral part","[997, 8, 343, 1129, 549, 864, 1008, 475, 1079]","[184527634, 12, 691663206]","[255, 128, 132]"
661,MGm,1,661,1088,"Medial geniculate complex, medial part","[997, 8, 343, 1129, 549, 864, 1008, 475, 1088]","[184527634, 12, 691663206]","[255, 128, 132]"
662,LGd,1,662,170,Dorsal part of the lateral geniculate complex,"[997, 8, 343, 1129, 549, 864, 1008, 170]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 112905813, 114512891]","[255, 128, 132]"
663,LGd-sh,1,663,496345664,"Dorsal part of the lateral geniculate complex, shell","[997, 8, 343, 1129, 549, 864, 1008, 170, 496345664]","[184527634, 691663206]","[255, 128, 132]"
664,LGd-co,1,664,496345668,"Dorsal part of the lateral geniculate complex, core","[997, 8, 343, 1129, 549, 864, 1008, 170, 496345668]","[184527634, 691663206]","[255, 128, 132]"
665,LGd-ip,1,665,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone","[997, 8, 343, 1129, 549, 864, 1008, 170, 496345672]","[184527634, 691663206]","[255, 128, 132]"
666,DORpm,1,666,856,"Thalamus, polymodal association cortex related","[997, 8, 343, 1129, 549, 856]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[255, 144, 159]"
667,LAT,1,667,138,Lateral group of the dorsal thalamus,"[997, 8, 343, 1129, 549, 856, 138]","[112905828, 691663206, 12, 184527634, 112905813, 114512891, 114512892]","[255, 144, 159]"
668,LP,1,668,218,Lateral posterior nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 138, 218]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[255, 144, 159]"
669,PO,1,669,1020,Posterior complex of the thalamus,"[997, 8, 343, 1129, 549, 856, 138, 1020]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[255, 144, 159]"
670,POL,1,670,1029,Posterior limiting nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 138, 1029]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 112905813]","[255, 144, 159]"
671,SGN,1,671,325,Suprageniculate nucleus,"[997, 8, 343, 1129, 549, 856, 138, 325]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
672,Eth,1,672,560581551,Ethmoid nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 138, 560581551]","[184527634, 691663206]","[255, 144, 159]"
673,REth,1,673,560581555,Retroethmoid nucleus,"[997, 8, 343, 1129, 549, 856, 138, 560581555]",[],"[255, 144, 159]"
674,ATN,1,674,239,Anterior group of the dorsal thalamus,"[997, 8, 343, 1129, 549, 856, 239]","[112905828, 691663206, 12, 184527634, 112905813, 114512891]","[255, 144, 159]"
675,AV,1,675,255,Anteroventral nucleus of thalamus,"[997, 8, 343, 1129, 549, 856, 239, 255]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
676,AM,1,676,127,Anteromedial nucleus,"[997, 8, 343, 1129, 549, 856, 239, 127]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
677,AMd,1,677,1096,"Anteromedial nucleus, dorsal part","[997, 8, 343, 1129, 549, 856, 239, 127, 1096]","[184527634, 12, 691663206]","[255, 144, 159]"
678,AMv,1,678,1104,"Anteromedial nucleus, ventral part","[997, 8, 343, 1129, 549, 856, 239, 127, 1104]","[184527634, 12, 691663206]","[255, 144, 159]"
679,AD,1,679,64,Anterodorsal nucleus,"[997, 8, 343, 1129, 549, 856, 239, 64]","[112905828, 691663206, 687527945, 10, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
680,IAM,1,680,1120,Interanteromedial nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 239, 1120]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 144, 159]"
681,IAD,1,681,1113,Interanterodorsal nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 239, 1113]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
682,LD,1,682,155,Lateral dorsal nucleus of thalamus,"[997, 8, 343, 1129, 549, 856, 239, 155]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 112905813, 114512891]","[255, 144, 159]"
683,MED,1,683,444,Medial group of the dorsal thalamus,"[997, 8, 343, 1129, 549, 856, 444]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 144, 159]"
684,IMD,1,684,59,Intermediodorsal nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 444, 59]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
685,MD,1,685,362,Mediodorsal nucleus of thalamus,"[997, 8, 343, 1129, 549, 856, 444, 362]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
686,MDc,1,686,617,"Mediodorsal nucleus of the thalamus, central part","[997, 8, 343, 1129, 549, 856, 444, 362, 617]",[12],"[255, 144, 159]"
687,MDl,1,687,626,"Mediodorsal nucleus of the thalamus, lateral part","[997, 8, 343, 1129, 549, 856, 444, 362, 626]",[12],"[255, 144, 159]"
688,MDm,1,688,636,"Mediodorsal nucleus of the thalamus, medial part","[997, 8, 343, 1129, 549, 856, 444, 362, 636]",[12],"[255, 144, 159]"
689,SMT,1,689,366,Submedial nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 444, 366]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
690,PR,1,690,1077,Perireunensis nucleus,"[997, 8, 343, 1129, 549, 856, 444, 1077]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
691,MTN,1,691,571,Midline group of the dorsal thalamus,"[997, 8, 343, 1129, 549, 856, 571]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 144, 159]"
692,PVT,1,692,149,Paraventricular nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 571, 149]","[112905828, 691663206, 687527945, 10, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
693,PT,1,693,15,Parataenial nucleus,"[997, 8, 343, 1129, 549, 856, 571, 15]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
694,RE,1,694,181,Nucleus of reuniens,"[997, 8, 343, 1129, 549, 856, 571, 181]","[112905828, 691663206, 687527945, 10, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
695,Xi,1,695,560581559,Xiphoid thalamic nucleus,"[997, 8, 343, 1129, 549, 856, 571, 560581559]","[112905828, 691663206, 688152363, 184527634, 167587189]","[255, 144, 159]"
696,ILM,1,696,51,Intralaminar nuclei of the dorsal thalamus,"[997, 8, 343, 1129, 549, 856, 51]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 144, 159]"
697,RH,1,697,189,Rhomboid nucleus,"[997, 8, 343, 1129, 549, 856, 51, 189]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 144, 159]"
698,CM,1,698,599,Central medial nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 51, 599]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
699,PCN,1,699,907,Paracentral nucleus,"[997, 8, 343, 1129, 549, 856, 51, 907]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
700,CL,1,700,575,Central lateral nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 51, 575]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 144, 159]"
701,PF,1,701,930,Parafascicular nucleus,"[997, 8, 343, 1129, 549, 856, 51, 930]","[112905828, 691663206, 687527945, 10, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
702,PIL,1,702,560581563,Posterior intralaminar thalamic nucleus,"[997, 8, 343, 1129, 549, 856, 51, 560581563]","[112905828, 691663206, 688152363, 184527634, 167587189, 114512891]","[255, 144, 159]"
703,RT,1,703,262,Reticular nucleus of the thalamus,"[997, 8, 343, 1129, 549, 856, 262]","[112905828, 691663206, 687527945, 10, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
704,GENv,1,704,1014,"Geniculate group, ventral thalamus","[997, 8, 343, 1129, 549, 856, 1014]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 144, 159]"
705,IGL,1,705,27,Intergeniculate leaflet of the lateral geniculate complex,"[997, 8, 343, 1129, 549, 856, 1014, 27]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 144, 159]"
706,IntG,1,706,563807439,Intermediate geniculate nucleus,"[997, 8, 343, 1129, 549, 856, 1014, 563807439]","[112905828, 691663206, 688152363, 184527634, 167587189]","[255, 144, 159]"
707,LGv,1,707,178,Ventral part of the lateral geniculate complex,"[997, 8, 343, 1129, 549, 856, 1014, 178]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
708,LGvl,1,708,300,"Ventral part of the lateral geniculate complex, lateral zone","[997, 8, 343, 1129, 549, 856, 1014, 178, 300]",[],"[255, 144, 159]"
709,LGvm,1,709,316,"Ventral part of the lateral geniculate complex, medial zone","[997, 8, 343, 1129, 549, 856, 1014, 178, 316]",[],"[255, 144, 159]"
710,SubG,1,710,321,Subgeniculate nucleus,"[997, 8, 343, 1129, 549, 856, 1014, 321]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189]","[255, 144, 159]"
711,EPI,1,711,958,Epithalamus,"[997, 8, 343, 1129, 549, 856, 958]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 144, 159]"
712,MH,1,712,483,Medial habenula,"[997, 8, 343, 1129, 549, 856, 958, 483]","[112905828, 691663206, 687527945, 10, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
713,LH,1,713,186,Lateral habenula,"[997, 8, 343, 1129, 549, 856, 958, 186]","[112905828, 691663206, 687527945, 688152363, 12, 184527634, 167587189, 114512891]","[255, 144, 159]"
714,PIN,1,714,953,Pineal body,"[997, 8, 343, 1129, 549, 856, 958, 953]",[],"[255, 144, 159]"
715,HY,1,715,1097,Hypothalamus,"[997, 8, 343, 1129, 1097]","[2, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[230, 68, 56]"
716,PVZ,1,716,157,Periventricular zone,"[997, 8, 343, 1129, 1097, 157]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[255, 93, 80]"
717,SO,1,717,390,Supraoptic nucleus,"[997, 8, 343, 1129, 1097, 157, 390]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 93, 80]"
718,ASO,1,718,332,Accessory supraoptic group,"[997, 8, 343, 1129, 1097, 157, 332]","[112905828, 691663206, 687527945, 688152364, 184527634, 167587189]","[255, 93, 80]"
719,NC,1,719,432,Nucleus circularis,"[997, 8, 343, 1129, 1097, 157, 332, 432]",[],"[255, 93, 80]"
720,PVH,1,720,38,Paraventricular hypothalamic nucleus,"[997, 8, 343, 1129, 1097, 157, 38]","[112905828, 691663206, 687527945, 10, 12, 688152364, 184527634, 167587189, 114512891]","[255, 93, 80]"
721,PVHm,1,721,71,"Paraventricular hypothalamic nucleus, magnocellular division","[997, 8, 343, 1129, 1097, 157, 38, 71]",[12],"[255, 93, 80]"
722,PVHam,1,722,47,"Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part","[997, 8, 343, 1129, 1097, 157, 38, 71, 47]",[],"[255, 93, 80]"
723,PVHmm,1,723,79,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part","[997, 8, 343, 1129, 1097, 157, 38, 71, 79]",[12],"[255, 93, 80]"
724,PVHpm,1,724,103,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part","[997, 8, 343, 1129, 1097, 157, 38, 71, 103]",[12],"[255, 93, 80]"
725,PVHpml,1,725,652,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone","[997, 8, 343, 1129, 1097, 157, 38, 71, 103, 652]",[12],"[255, 93, 80]"
726,PVHpmm,1,726,660,"Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone","[997, 8, 343, 1129, 1097, 157, 38, 71, 103, 660]",[],"[255, 93, 80]"
727,PVHp,1,727,94,"Paraventricular hypothalamic nucleus, parvicellular division","[997, 8, 343, 1129, 1097, 157, 38, 94]",[12],"[255, 93, 80]"
728,PVHap,1,728,55,"Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part","[997, 8, 343, 1129, 1097, 157, 38, 94, 55]",[12],"[255, 93, 80]"
729,PVHmpd,1,729,87,"Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone","[997, 8, 343, 1129, 1097, 157, 38, 94, 87]",[12],"[255, 93, 80]"
730,PVHpv,1,730,110,"Paraventricular hypothalamic nucleus, parvicellular division, periventricular part","[997, 8, 343, 1129, 1097, 157, 38, 94, 110]",[12],"[255, 93, 80]"
731,PVa,1,731,30,"Periventricular hypothalamic nucleus, anterior part","[997, 8, 343, 1129, 1097, 157, 30]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 93, 80]"
732,PVi,1,732,118,"Periventricular hypothalamic nucleus, intermediate part","[997, 8, 343, 1129, 1097, 157, 118]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 93, 80]"
733,ARH,1,733,223,Arcuate hypothalamic nucleus,"[997, 8, 343, 1129, 1097, 157, 223]","[112905828, 691663206, 687527945, 10, 12, 688152364, 184527634, 167587189, 114512891]","[255, 93, 80]"
734,PVR,1,734,141,Periventricular region,"[997, 8, 343, 1129, 1097, 141]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[255, 85, 71]"
735,ADP,1,735,72,Anterodorsal preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 72]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
736,AHA,1,736,80,Anterior hypothalamic area,"[997, 8, 343, 1129, 1097, 141, 80]",[],"[255, 85, 71]"
737,AVP,1,737,263,Anteroventral preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 263]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 85, 71]"
738,AVPV,1,738,272,Anteroventral periventricular nucleus,"[997, 8, 343, 1129, 1097, 141, 272]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
739,DMH,1,739,830,Dorsomedial nucleus of the hypothalamus,"[997, 8, 343, 1129, 1097, 141, 830]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
740,DMHa,1,740,668,"Dorsomedial nucleus of the hypothalamus, anterior part","[997, 8, 343, 1129, 1097, 141, 830, 668]",[12],"[255, 85, 71]"
741,DMHp,1,741,676,"Dorsomedial nucleus of the hypothalamus, posterior part","[997, 8, 343, 1129, 1097, 141, 830, 676]",[12],"[255, 85, 71]"
742,DMHv,1,742,684,"Dorsomedial nucleus of the hypothalamus, ventral part","[997, 8, 343, 1129, 1097, 141, 830, 684]",[12],"[255, 85, 71]"
743,MEPO,1,743,452,Median preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 452]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 85, 71]"
744,MPO,1,744,523,Medial preoptic area,"[997, 8, 343, 1129, 1097, 141, 523]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
745,OV,1,745,763,Vascular organ of the lamina terminalis,"[997, 8, 343, 1129, 1097, 141, 763]","[112905828, 691663206, 687527945, 688152364, 184527634, 167587189]","[255, 85, 71]"
746,PD,1,746,914,Posterodorsal preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 914]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 85, 71]"
747,PS,1,747,1109,Parastrial nucleus,"[997, 8, 343, 1129, 1097, 141, 1109]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 85, 71]"
748,PSCH,1,748,1124,Suprachiasmatic preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 1124]",[],"[255, 85, 71]"
749,PVp,1,749,126,"Periventricular hypothalamic nucleus, posterior part","[997, 8, 343, 1129, 1097, 141, 126]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
750,PVpo,1,750,133,"Periventricular hypothalamic nucleus, preoptic part","[997, 8, 343, 1129, 1097, 141, 133]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 85, 71]"
751,SBPV,1,751,347,Subparaventricular zone,"[997, 8, 343, 1129, 1097, 141, 347]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
752,SCH,1,752,286,Suprachiasmatic nucleus,"[997, 8, 343, 1129, 1097, 141, 286]","[112905828, 691663206, 687527945, 10, 12, 688152364, 184527634, 167587189, 114512891]","[255, 85, 71]"
753,SFO,1,753,338,Subfornical organ,"[997, 8, 343, 1129, 1097, 141, 338]","[691663206, 687527945, 688152364, 184527634, 167587189]","[255, 85, 71]"
754,VMPO,1,754,576073699,Ventromedial preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 576073699]","[112905828, 691663206, 688152364, 184527634, 167587189]","[255, 85, 71]"
755,VLPO,1,755,689,Ventrolateral preoptic nucleus,"[997, 8, 343, 1129, 1097, 141, 689]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 85, 71]"
756,MEZ,1,756,467,Hypothalamic medial zone,"[997, 8, 343, 1129, 1097, 467]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[255, 76, 62]"
757,AHN,1,757,88,Anterior hypothalamic nucleus,"[997, 8, 343, 1129, 1097, 467, 88]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
758,AHNa,1,758,700,"Anterior hypothalamic nucleus, anterior part","[997, 8, 343, 1129, 1097, 467, 88, 700]",[12],"[255, 76, 62]"
759,AHNc,1,759,708,"Anterior hypothalamic nucleus, central part","[997, 8, 343, 1129, 1097, 467, 88, 708]",[12],"[255, 76, 62]"
760,AHNd,1,760,716,"Anterior hypothalamic nucleus, dorsal part","[997, 8, 343, 1129, 1097, 467, 88, 716]",[],"[255, 76, 62]"
761,AHNp,1,761,724,"Anterior hypothalamic nucleus, posterior part","[997, 8, 343, 1129, 1097, 467, 88, 724]",[12],"[255, 76, 62]"
762,MBO,1,762,331,Mammillary body,"[997, 8, 343, 1129, 1097, 467, 331]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 76, 62]"
763,LM,1,763,210,Lateral mammillary nucleus,"[997, 8, 343, 1129, 1097, 467, 331, 210]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
764,MM,1,764,491,Medial mammillary nucleus,"[997, 8, 343, 1129, 1097, 467, 331, 491]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
765,MMme,1,765,732,"Medial mammillary nucleus, median part","[997, 8, 343, 1129, 1097, 467, 331, 491, 732]","[184527634, 12, 691663206]","[255, 76, 62]"
766,MMl,1,766,606826647,"Medial mammillary nucleus, lateral part","[997, 8, 343, 1129, 1097, 467, 331, 491, 606826647]","[184527634, 691663206]","[255, 76, 62]"
767,MMm,1,767,606826651,"Medial mammillary nucleus, medial part","[997, 8, 343, 1129, 1097, 467, 331, 491, 606826651]","[184527634, 691663206]","[255, 76, 62]"
768,MMp,1,768,606826655,"Medial mammillary nucleus, posterior part","[997, 8, 343, 1129, 1097, 467, 331, 491, 606826655]","[184527634, 691663206]","[255, 76, 62]"
769,MMd,1,769,606826659,"Medial mammillary nucleus, dorsal part","[997, 8, 343, 1129, 1097, 467, 331, 491, 606826659]","[184527634, 691663206]","[255, 76, 62]"
770,SUM,1,770,525,Supramammillary nucleus,"[997, 8, 343, 1129, 1097, 467, 331, 525]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
771,SUMl,1,771,1110,"Supramammillary nucleus, lateral part","[997, 8, 343, 1129, 1097, 467, 331, 525, 1110]",[12],"[255, 76, 62]"
772,SUMm,1,772,1118,"Supramammillary nucleus, medial part","[997, 8, 343, 1129, 1097, 467, 331, 525, 1118]",[12],"[255, 76, 62]"
773,TM,1,773,557,Tuberomammillary nucleus,"[997, 8, 343, 1129, 1097, 467, 331, 557]","[112905828, 691663206, 12, 184527634, 114512891]","[255, 76, 62]"
774,TMd,1,774,1126,"Tuberomammillary nucleus, dorsal part","[997, 8, 343, 1129, 1097, 467, 331, 557, 1126]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 76, 62]"
775,TMv,1,775,1,"Tuberomammillary nucleus, ventral part","[997, 8, 343, 1129, 1097, 467, 331, 557, 1]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
776,MPN,1,776,515,Medial preoptic nucleus,"[997, 8, 343, 1129, 1097, 467, 515]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
777,MPNc,1,777,740,"Medial preoptic nucleus, central part","[997, 8, 343, 1129, 1097, 467, 515, 740]",[],"[255, 76, 62]"
778,MPNl,1,778,748,"Medial preoptic nucleus, lateral part","[997, 8, 343, 1129, 1097, 467, 515, 748]",[12],"[255, 76, 62]"
779,MPNm,1,779,756,"Medial preoptic nucleus, medial part","[997, 8, 343, 1129, 1097, 467, 515, 756]",[12],"[255, 76, 62]"
780,PMd,1,780,980,Dorsal premammillary nucleus,"[997, 8, 343, 1129, 1097, 467, 980]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189]","[255, 76, 62]"
781,PMv,1,781,1004,Ventral premammillary nucleus,"[997, 8, 343, 1129, 1097, 467, 1004]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
782,PVHd,1,782,63,"Paraventricular hypothalamic nucleus, descending division","[997, 8, 343, 1129, 1097, 467, 63]","[112905828, 691663206, 687527945, 12, 688152364, 184527634, 167587189, 114512891]","[255, 76, 62]"
783,PVHdp,1,783,439,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part","[997, 8, 343, 1129, 1097, 467, 63, 439]",[],"[255, 76, 62]"
784,PVHf,1,784,447,"Paraventricular hypothalamic nucleus, descending division, forniceal part","[997, 8, 343, 1129, 1097, 467, 63, 447]",[],"[255, 76, 62]"
785,PVHlp,1,785,455,"Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part","[997, 8, 343, 1129, 1097, 467, 63, 455]",[12],"[255, 76, 62]"
